ticker,bucket,rank,score,target_weight_raw,target_weight_final,reason,annual_fee_rate,deployment_ml_proba,core_deployment_multiplier_ml,opp_deployment_multiplier_ml,date
MC.PA,core,5,1.4929165248786904,0.05017507866536466,0.06411260051685484,NEW_ENTRY,,0.5,1.0,1.0,2021-05-31
GLE.PA,core,6,1.4195974558518802,0.04677843573629175,0.059772445663039464,KEEP_TOP_RANK,,0.5,1.0,1.0,2021-05-31
CAP.PA,core,7,1.2756020370362657,0.037054657832604476,0.04734761834166128,NEW_ENTRY,,0.5,1.0,1.0,2021-05-31
BNP.PA,core,13,0.7472651095566096,0.023785974023202212,0.030393189029647272,KEEP_BUFFER_ZONE,,0.5,1.0,1.0,2021-05-31
ETDD.PA,monetary,1,0.19671780973267783,0.051634921777707295,0.1319559112096964,PERMANENT_ETF,0.001,0.5,1.0,1.0,2021-05-31
ESE.PA,monetary,2,0.19262494752029444,0.0511413780831487,0.13069463287915778,PERMANENT_ETF,0.0014,0.5,1.0,1.0,2021-05-31
PAEEM.PA,monetary,3,0.1665723663601682,0.027658482747839688,0.0706827892444792,PERMANENT_ETF,0.003,0.5,1.0,1.0,2021-05-31
PINR.PA,opportunistic,1,1.596302164647739,0.4347826086956522,0.11111111111111112,NEW_OPP_ENTRY,0.003,0.5,1.0,1.0,2021-05-31
PUB.PA,core,1,1.9342403395430616,0.09588514394730248,0.1,NEW_ENTRY,,0.5,1.0,1.0,2021-06-30
TFI.PA,core,2,1.6091585745592005,0.07018254198076285,0.08283631396638191,NEW_ENTRY,,0.5,1.0,1.0,2021-06-30
GLE.PA,core,3,1.5894729536261414,0.06363723274975426,0.07511089856869653,KEEP_TOP_RANK,,0.5,1.0,1.0,2021-06-30
SGO.PA,core,4,1.5690206975382013,0.06241980310200043,0.07367396878976433,NEW_ENTRY,,0.5,1.0,1.0,2021-06-30
RMS.PA,core,5,1.3322588409946738,0.04529680433265704,0.05346372758060311,NEW_ENTRY,,0.5,1.0,1.0,2021-06-30
MC.PA,core,6,1.2382412567104994,0.04161703161946025,0.04912049920510704,NEW_ENTRY,,0.5,1.0,1.0,2021-06-30
ERF.PA,core,7,1.051466329193589,0.031617486748544685,0.037318056388556856,NEW_ENTRY,,0.5,1.0,1.0,2021-06-30
BNP.PA,core,14,0.7144473751930034,0.024126564215170194,0.028476535500890233,KEEP_BUFFER_ZONE,,0.5,1.0,1.0,2021-06-30
